administration_id,age,lab_age,lab_age_units,monitor_size_x,monitor_size_y,sample_rate,tracker,coding_method,dataset_id,subject_id,dataset_name,sex,native_language,lab_subject_id
226,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,197,adams_marchman_2018,female,eng,11003
227,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,197,adams_marchman_2018,female,eng,11003
228,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,197,adams_marchman_2018,female,eng,11003
229,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,197,adams_marchman_2018,female,eng,11003
230,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,198,adams_marchman_2018,female,eng,11009
231,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,198,adams_marchman_2018,female,eng,11009
232,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,198,adams_marchman_2018,female,eng,11009
233,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,198,adams_marchman_2018,female,eng,11009
234,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,199,adams_marchman_2018,male,eng,11011
235,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,199,adams_marchman_2018,male,eng,11011
236,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,199,adams_marchman_2018,male,eng,11011
237,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,199,adams_marchman_2018,male,eng,11011
238,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,200,adams_marchman_2018,male,eng,11014
239,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,200,adams_marchman_2018,male,eng,11014
240,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,200,adams_marchman_2018,male,eng,11014
241,17,17,months,NA,NA,30,video_camera,manual gaze coding,5,200,adams_marchman_2018,male,eng,11014
242,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,201,adams_marchman_2018,male,eng,11035
243,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,201,adams_marchman_2018,male,eng,11035
244,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,201,adams_marchman_2018,male,eng,11035
245,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,201,adams_marchman_2018,male,eng,11035
246,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,202,adams_marchman_2018,male,eng,11036
247,16,16,months,NA,NA,30,video_camera,manual gaze coding,5,202,adams_marchman_2018,male,eng,11036
248,18,18,months,NA,NA,30,video_camera,manual gaze coding,5,202,adams_marchman_2018,male,eng,11036
249,19,19,months,NA,NA,30,video_camera,manual gaze coding,5,202,adams_marchman_2018,male,eng,11036
250,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,203,adams_marchman_2018,male,eng,11037
251,15,15,months,NA,NA,30,video_camera,manual gaze coding,5,203,adams_marchman_2018,male,eng,11037
